,NB,QDA,SVM,DT,kNN,Bagging,AdaBoost,GPR,NNet-bfgs,RF,L-SVM,NNet
SP10,0.5859668508287292,0.6015745856353591,0.5511325966850829,0.5879972375690607,0.5885773480662984,0.6398480662983426,0.6189364640883979,0.590621546961326,0.6008701657458564,0.6545718232044199,0.6269889502762431,0.6301381215469614
SP15,0.5696655610834715,0.5786622443338862,0.5670259812050857,0.5823659480375898,0.6026533996683251,0.6481757877280265,0.6710889994472083,0.7133775566611387,0.6007462686567164,0.6777363184079602,0.7378109452736319,0.7083471531232725
CY10,0.6823480662983425,0.5962707182320441,0.627403314917127,0.5786187845303867,0.6316022099447515,0.6770441988950276,0.6633977900552487,0.6391436464088398,0.6090331491712707,0.6835773480662983,0.6349447513812154,0.6762430939226519
SP20,0.5428112786152987,0.6233668341708541,0.5757118927973199,0.6201005025125628,0.6204075935231714,0.6532942490228922,0.6673646007816861,0.7245114461194864,0.6803042992741485,0.6872417643774428,0.7220547180346175,0.742350642099386
allCS,0.5346714277486609,0.5507688763462535,0.5,0.6190606462016932,0.7052496688360306,0.7294678338996716,0.7351840119794967,0.5051546391752577,0.7671485342394748,0.760683637620227,0.7450901341933996,0.785751310257444
allSP,0.5521655243909462,0.4516788573403213,0.5077319587628866,0.6243016759776536,0.6568853308760007,0.7037234348902839,0.7589558256061739,0.5776075562978747,0.7550250532742038,0.7694090882911939,0.7893221217531533,0.8019063525888384
CY15,0.6867053620784964,0.5964897733554451,0.6265892758430072,0.5997236042012162,0.6311636263128799,0.6745024875621891,0.7076147042564953,0.6951077943615257,0.6644831398562743,0.7104754007739081,0.7132393587617467,0.7505527915975676
CY3020,0.5625628140703517,0.6266890005583473,0.5980597431602457,0.6187325516471245,0.6523590173087661,0.6669318816303741,0.710999441652708,0.7561976549413736,0.7012981574539363,0.751675041876047,0.7448352875488554,0.7556393076493579
allCY,0.5563266716581236,0.5115763404941542,0.5,0.6499596843863388,0.650521223290906,0.6675977653631284,0.7648447848874044,0.7919714335080343,0.7670189483384209,0.738006104935783,0.7945343546622128,0.8085008351091401
CY20,0.5878280290340592,0.5806811836962591,0.6663595756560582,0.6089195979899498,0.691750418760469,0.7046901172529313,0.6934673366834172,0.7609715242881072,0.7414852037967616,0.733431044109436,0.7690675600223338,0.7690954773869347
CY2030,0.5839678510998308,0.5514946418499718,0.6787366046249296,0.6104342921601805,0.6798223350253808,0.733009024252679,0.7122955442752398,0.7768753525098703,0.7269317540891146,0.7488014664410604,0.7464184997179921,0.762154540327129
allCYs,0.5472556585843461,0.5478603927892646,0.5051546391752577,0.6715285376950988,0.7179778840062201,0.7477394459482809,0.7923169959108449,0.5438144329896907,0.8101998502562922,0.8071617807982491,0.7867592005989748,0.8391119046247768
SP30,0.5398195149464184,0.6798082346305696,0.6833192329385223,0.6141285956006768,0.6880569655950367,0.7041737168640722,0.6972927241962775,0.8030456852791878,0.7687958262831358,0.752354765933446,0.7888606880992669,0.8114777213761986
CY30,0.5145093062605753,0.6676536943034406,0.699238578680203,0.6041596164692611,0.7165679639029894,0.707445008460237,0.7483925549915398,0.8178510998307953,0.7881274675690919,0.7947687535250987,0.8001410039481106,0.8080372250423011
SP50,0.5543252894085123,0.5721937453205092,0.6929246098024535,0.6485774347750964,0.7547946783389967,0.7672781201405287,0.776896273685423,0.8319126878995565,0.812676380809768,0.8085584288429419,0.7940736047917987,0.8205379254737085
CY5030,0.5582910321489002,0.6689509306260575,0.715961646926114,0.6786097010716301,0.6993513818386915,0.7445008460236886,0.7630287648054146,0.8545685279187818,0.804610829103215,0.7722504230118443,0.8068245910885505,0.8413141567963903
CY3050,0.6611472671773311,0.6865461037839083,0.7212319299660196,0.6994183032886022,0.7572712088924726,0.7440246501180672,0.758235903933652,0.8476069803605367,0.7966365259459771,0.8070609917640961,0.812186834072453,0.8431722628578011
CY50,0.6984824051143236,0.7158325174221045,0.7646720036859991,0.6766975753038069,0.738985198410413,0.7700426193630133,0.7965213384783736,0.8578586649772505,0.8071473823647987,0.7854057478546335,0.8169095202441974,0.851408166791453
